"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Diffusivity_0","Diffusivity_1","Eddy_Viscosity"
1960, 6.049429485008780e-02, 1.025274063981381e-02, 1.162167955068972e+00, 1.928207627435812e+00, -1.099555527031784e+00, 1.000000000000000e+00, 7.501556894933157e-03, 1.045699020448680e+03, 9.474577905641846e-01, 7.626987140003640e-03, 2.324335910137944e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.060591623522049e-07, 1.584404420955470e-05, 1.493270778744549e-04, -1.223906575775718e-01, 6.127711289055601e-07, -1.635073836937810e-01, -8.212375666768593e-06, 4.077594429313157e-07, 1.000000000000000e-03, 1.000000000000000e-03, 7.173724703035920e-06
1961, 6.049429485009300e-02, 9.642884908219945e-03, 1.168758863451036e+00, 1.909411048115444e+00, -9.244981961759458e-01, 1.000000000000000e+00, 8.501675312388329e-03, 8.172490499989682e+02, 9.481722030149304e-01, 1.241123007844157e-02, 2.337517726902072e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.771238301096807e-06, -2.904842076521466e-05, 1.687482529772159e-04, -1.136692330447606e+00, 6.998969347980567e-07, -1.382154087509773e-01, -6.767472735476873e-06, 6.674210999597096e-07, 1.000000000000000e-03, 1.000000000000000e-03, 1.040279620074084e-05
1962, 6.049429485009877e-02, 8.965267439231307e-03, 1.159953142938191e+00, 1.900425318888715e+00, -7.680553175980871e-01, 1.000000000000000e+00, 8.450816651615612e-03, 6.743043580761851e+02, 9.501153007115657e-01, 1.994068607487258e-02, 2.319906285876382e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -7.888987497106821e-06, -7.330547650220449e-05, 1.659815920685432e-04, -2.377826821591154e+00, 4.886087408074037e-07, -1.035841141712513e-01, -3.101996620401724e-06, 1.054313225967230e-06, 1.000000000000000e-03, 1.000000000000000e-03, 1.253264427316783e-05
1963, 6.049429485010517e-02, 8.212359137874308e-03, 1.147940951485800e+00, 1.913098641809281e+00, -6.452891272295511e-01, 9.999999999999997e-01, 7.562984068590401e-03, 5.725355047140558e+02, 9.524936185270143e-01, 3.142106004138973e-02, 2.295881902971599e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.224110632988724e-05, -1.130718065515561e-04, 1.402052506576800e-04, -3.689602875886976e+00, 1.137459787819782e-07, -6.783768945798860e-02, 1.301867366653272e-06, 1.567718889727122e-06, 1.000000000000000e-03, 1.000000000000000e-03, 1.320963330015248e-05
1964, 6.049429485011230e-02, 7.375794360524567e-03, 1.140361219306122e+00, 1.945478077097834e+00, -5.555278045770664e-01, 9.999999999999997e-01, 6.638875318414880e-03, 4.724442796146578e+02, 9.541234584066937e-01, 4.821885047474037e-02, 2.280722438612243e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.646825569873688e-05, -1.467759954192716e-04, 9.777338300318818e-05, -4.963711771585963e+00, -7.576220819000840e-08, -4.129360912676346e-02, 5.122990219402031e-06, 2.155723601398389e-06, 1.000000000000000e-03, 1.000000000000000e-03, 1.405218690303496e-05
1965, 6.049429485012020e-02, 6.446277946218784e-03, 1.143257980231901e+00, 1.986932168870571e+00, -4.847261793508488e-01, 9.999999999999997e-01, 6.403644202091989e-03, 3.612443864512899e+02, 9.543754254478121e-01, 7.161451586191168e-02, 2.286515960463803e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.990641267117337e-05, -1.703500051726973e-04, 4.845448764446214e-05, -6.000009758990132e+00, -1.302542837630538e-08, -2.565594186480673e-02, 7.902978486050390e-06, 2.721589733208630e-06, 1.000000000000000e-03, 1.000000000000000e-03, 1.772662619064797e-05
1966, 6.049429485012901e-02, 5.413481928238778e-03, 1.161219636837970e+00, 2.031958798881343e+00, -4.151478776863478e-01, 9.999999999999994e-01, 7.117532084641720e-03, 2.546857488699932e+02, 9.533637929423668e-01, 1.023238949516744e-01, 2.322439273675941e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.020497786357290e-05, -1.653441103328402e-04, 3.772903621760878e-06, -6.090000562339128e+00, 1.346661266409223e-07, -1.547356015994913e-02, 8.607052626344709e-06, 3.148539457053489e-06, 1.000000000000000e-03, 1.000000000000000e-03, 2.794633039430460e-05
1967, 6.049429485013876e-02, 4.265930797301870e-03, 1.189818558768857e+00, 2.086231242240303e+00, -3.338723099099115e-01, 9.999999999999996e-01, 8.435102832021374e-03, 1.761037908070039e+02, 9.511484371757450e-01, 1.393645895931932e-01, 2.379637117537714e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.573143566939265e-05, -1.167955740952207e-04, -3.131924765606145e-05, -4.741626183403930e+00, 3.052829964675529e-07, -6.328487566364191e-03, 6.322874186455362e-06, 3.040919222892821e-06, 1.000000000000000e-03, 1.000000000000000e-03, 3.591336062484461e-05
1968, 6.049429485014961e-02, 2.990873992290562e-03, 1.227768912885003e+00, 2.151266624377123e+00, -2.369361295167104e-01, 1.000000000000000e+00, 1.023829292926095e-02, 1.325697628741870e+02, 9.474503285256892e-01, 1.791374136309876e-01, 2.455537825770006e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -6.368273635200088e-06, -2.680757984441034e-05, -5.582177976455574e-05, -1.919467087831312e+00, 1.847879251453537e-07, 1.644404935028342e-05, 1.299717930527802e-06, 2.349780205223811e-06, 1.000000000000000e-03, 1.000000000000000e-03, 4.121865831832656e-05
1969, 6.049429485016167e-02, 1.574144204904995e-03, 1.253731330633171e+00, 2.197072095917629e+00, -1.179333105390075e-01, 9.999999999999999e-01, 1.322169759601947e-02, 1.140921831896144e+02, 9.389666145742377e-01, 2.116613710722186e-01, 2.507462661266341e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.562719142478394e-06, 5.738332486445974e-05, -5.918455767621363e-05, 1.676664183180384e+00, 5.623921979501051e-07, 2.842031091738393e-03, -8.700432195966117e-06, 1.344775445957793e-06, 1.000000000000000e-03, 1.000000000000000e-03, 8.857285645717305e-05
