"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
126, 2.055463343858719e-01, 1.795850545167923e-01, -2.606563984767635e-03, 9.842515358010719e-01, -8.548610399862324e-04, 2.881517880621478e+02, 3.742800513282418e-01, -4.045575019040253e-03, 1.288592003877889e+00, 1.789306253222959e-05, 1.001000000000000e+03, 5.417757357103563e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.870886847600672e-01, -6.708408423021662e-04, -1.544142482976560e-02, -1.468498983419409e-03, -1.925349293896723e+02, -9.343401302738666e-02
127, 2.055463343858719e-01, 2.076069861650467e-01, -2.456465121050314e-03, 9.869245293321471e-01, -5.151831096395509e-04, 2.881512841112296e+02, 4.099190039560199e-01, -3.812610773009954e-03, 1.288594257510475e+00, 1.789303821722128e-05, 1.001000000000000e+03, 5.932365881969890e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.333571835296911e-01, -6.635329023682145e-04, -1.456970692219446e-02, -8.470010200471046e-04, -1.904785717480914e+02, -1.083740946501439e-01
128, 2.055463343858719e-01, 2.358448356389999e-01, -2.392359838676361e-03, 9.879551174241972e-01, -1.716202476614622e-04, 2.881510646665719e+02, 4.267684686928988e-01, -3.713114758150491e-03, 1.288595238853807e+00, 1.789302762928165e-05, 1.001000000000000e+03, 6.175506337914583e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.552179637976936e-01, -6.619315642937255e-04, -1.410364670009794e-02, -2.765596277019382e-04, -1.900699423684853e+02, -1.156904791900541e-01
129, 2.055463343858719e-01, 2.641551494598389e-01, -2.392311234664407e-03, 9.879550704907056e-01, 1.716670862683437e-04, 2.881510647345087e+02, 4.267670949921012e-01, -3.713039321223665e-03, 1.288595238549997e+00, 1.789302763255952e-05, 1.001000000000000e+03, 6.175487142434358e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.552162379303366e-01, -6.619160352100597e-04, -1.410361922539898e-02, 2.767858948821474e-04, -1.900653509523559e+02, -1.156910091117731e-01
130, 2.055463343858719e-01, 2.923930287361145e-01, -2.456317774465075e-03, 9.869244088399338e-01, 5.151471522238892e-04, 2.881512843339679e+02, 4.099154216237366e-01, -3.812382080498332e-03, 1.288594256514404e+00, 1.789303822796813e-05, 1.001000000000000e+03, 5.932315916963795e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.333526911714873e-01, -6.634949091827246e-04, -1.456959667517983e-02, 8.471461080608242e-04, -1.904673099768029e+02, -1.083756471377211e-01
131, 2.055463343858719e-01, 3.204149603843689e-01, -2.606364757387361e-03, 9.842514402266667e-01, 8.547574333000406e-04, 2.881517884711128e+02, 3.742755276616663e-01, -4.045265803798481e-03, 1.288592002049030e+00, 1.789306255196164e-05, 1.001000000000000e+03, 5.417694488632679e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.870830322501729e-01, -6.707963435054536e-04, -1.544112284606942e-02, 1.468613242059597e-03, -1.925216076732620e+02, -9.343624780416095e-02
132, 2.055463343858719e-01, 3.480818569660187e-01, -2.938826792966143e-03, 9.785015770436880e-01, 1.219346914578636e-03, 2.881526996595837e+02, 3.240022019017488e-01, -4.561270825649764e-03, 1.288587927299159e+00, 1.789310651562611e-05, 1.001000000000000e+03, 4.691354379605072e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.217777276872416e-01, -7.048128827209502e-04, -1.655254808399137e-02, 2.209304125892167e-03, -2.023750338354753e+02, -7.335066521429544e-02
133, 2.055463343858719e-01, 3.752617239952087e-01, -3.882079917650105e-03, 9.670299973059437e-01, 1.720000429171566e-03, 2.881541712761311e+02, 2.636814378201962e-01, -6.025267604609818e-03, 1.288581346421609e+00, 1.789317751907883e-05, 1.001000000000000e+03, 3.819254171969262e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.433671195193435e-01, -7.896532382144970e-04, -1.739973969080708e-02, 3.145309640267482e-03, -2.270673022889664e+02, -5.139676206775053e-02
134, 2.055463343858719e-01, 4.018320441246033e-01, -5.983803211158545e-03, 9.451735003587547e-01, 2.545329454730280e-03, 2.881563491070630e+02, 1.980728621128947e-01, -9.287293514137119e-03, 1.288571607568645e+00, 1.789328259607402e-05, 1.001000000000000e+03, 2.869984746340209e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.580182199807897e-01, -1.118407384660230e-03, -1.742637692583726e-02, 4.184448711945486e-03, -3.222991270986603e+02, -3.093020286713940e-02
135, 2.055463343858719e-01, 4.276818037033081e-01, -9.677524024084505e-03, 9.042468347856583e-01, 3.995248849266275e-03, 2.881593492943557e+02, 1.325685512274504e-01, -1.502021422331911e-02, 1.288558191532788e+00, 1.789342734987443e-05, 1.001000000000000e+03, 1.921528719744751e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.727424531728832e-01, -1.790809235404370e-03, -1.606477377701208e-02, 4.873086155130041e-03, -5.166992903156035e+02, -1.493846015706225e-02
