"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
1065, 4.148295149207115e-02, 1.461136713624001e-02, 6.833401115535764e-04, 8.704762540278470e-01, -6.764391829100113e-03, 2.881783035145389e+02, 1.505902242206503e-02, 1.060593064649350e-03, 1.288473439782280e+00, 1.789434184116820e-05, 1.001000000000000e+03, 2.165562701383383e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.944822579143025e-02, 4.918185472389477e-07, -1.767066542552889e-04, -5.046930168295860e-05, 3.605417410132506e-01, -5.725919060455920e-05
1066, 4.205708950757980e-02, 1.461136713624001e-02, 6.573659476387661e-04, 8.719584096729829e-01, -7.846830572302572e-03, 2.881759971485927e+02, 1.696777368488256e-02, 1.020279291694500e-03, 1.288483751853006e+00, 1.789423056661993e-05, 1.001000000000000e+03, 2.439372850784289e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.191005544561650e-02, 5.174721852281008e-07, -1.779916423655779e-04, -5.230537287687520e-05, 3.428835299398432e-01, -6.147934503314629e-05
1067, 4.257381334900856e-02, 1.461136713624001e-02, 6.310566889080604e-04, 8.735662525609895e-01, -8.994245297839222e-03, 2.881737317878215e+02, 1.911932855000487e-02, 9.794454274531436e-04, 1.288493880744795e+00, 1.789412127001928e-05, 1.001000000000000e+03, 2.748125309397699e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.468605171362655e-02, 5.389655941591420e-07, -1.808214961823667e-04, -5.216028766327177e-05, 3.266150349686905e-01, -6.768664343092428e-05
1068, 4.303886368870735e-02, 1.461136713624001e-02, 6.032038515488836e-04, 8.753493746339840e-01, -1.011077848732011e-02, 2.881715109563208e+02, 2.152637031031190e-02, 9.362158180178233e-04, 1.288503810691685e+00, 1.789401412141625e-05, 1.001000000000000e+03, 3.093667013515711e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.779282041605592e-02, 5.515006420451563e-07, -1.850214063043291e-04, -4.863621945529282e-05, 3.101725339915132e-01, -7.636524315608674e-05
1069, 4.345741122961044e-02, 1.461136713624001e-02, 5.673816394793363e-04, 8.774530049459062e-01, -1.097989450155725e-02, 2.881693197381373e+02, 2.420231529686134e-02, 8.806171651083909e-04, 1.288513608379315e+00, 1.789390840117981e-05, 1.001000000000000e+03, 3.477943856569362e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.124785709913814e-02, 5.291822563195279e-07, -1.894198685638372e-04, -3.996458088281968e-05, 2.858369838980553e-01, -8.799634706898880e-05
1070, 4.383410140872002e-02, 1.461136713624001e-02, 5.006571903258816e-04, 8.803072527316687e-01, -1.123372630636046e-02, 2.881671100720392e+02, 2.717512971503311e-02, 7.770560147848544e-04, 1.288523488704786e+00, 1.789380179049097e-05, 1.001000000000000e+03, 3.904980851457543e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.508735069293460e-02, 3.972739080056686e-07, -1.910511423522239e-04, -2.556475013395197e-05, 2.316208256700345e-01, -1.031121831620321e-04
1071, 4.417312517762184e-02, 1.461136713624001e-02, 3.521752420694857e-04, 8.849073697663383e-01, -1.050444838823787e-02, 2.881647738613657e+02, 3.052658225351479e-02, 5.466013379939247e-04, 1.288533935027863e+00, 1.789368907392540e-05, 1.001000000000000e+03, 4.386515947094469e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.941683720818829e-02, 3.617899686233312e-08, -1.864360196569667e-04, -9.025384706416641e-06, 1.120864568722746e-01, -1.225831483913955e-04
1072, 4.447824507951736e-02, 1.461136713624001e-02, 5.274821058423584e-05, 8.929487593950587e-01, -8.835390950788530e-03, 2.881621005629040e+02, 3.450271463225363e-02, 8.186902154933392e-05, 1.288545888840595e+00, 1.789356009314301e-05, 1.001000000000000e+03, 4.957861362210044e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.455380913369016e-02, -6.394916667466007e-07, -1.758682796669390e-04, 6.371211732664629e-07, -9.933296527993035e-02, -1.486058423738760e-04
1073, 4.475285112857819e-02, 1.461136713624001e-02, -4.541495696805953e-04, 9.064915784323906e-01, -6.794545826533381e-03, 2.881588067275746e+02, 3.985534597450169e-02, -7.048728382439784e-04, 1.288560617725755e+00, 1.789340117202789e-05, 1.001000000000000e+03, 5.726938721993558e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.146859078893659e-02, -1.618404999428929e-06, -1.676035199869136e-04, -6.868664315368709e-06, -4.020975061949369e-01, -1.881877928149062e-04
1074, 4.722432699054480e-03, 1.472437474876642e-02, -1.683001845261600e-02, 7.774899287210393e-01, 4.330214395572157e-02, 2.882558241896734e+02, 2.639971420649090e-03, -2.612140067145119e-02, 1.288126930457705e+00, 1.789808170898852e-05, 1.001000000000000e+03, 3.833554562433046e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.424379751699670e-03, -7.044520808514130e-05, -8.257471853975233e-04, 1.332082936329359e-04, -1.826857843595129e+01, -4.367393683980640e-05
